Geneid	Chr	Start	End	Strand	Length	pDG_M-t0-1	pDG_M-t0-2	pDG7_M-t0-1	pDG7_M-t0-2	pDG-t0-1	pDG-t0-2	pDG7-t0-1	pDG7-t0-2	GIL01-t0-1	GIL01_M-t0-1
HIS92_RS12075	NZ_CP051858.1	2343927	2344433	+	507	2	2	4	2	2	4	1	12	4	1
HIS92_RS12080	NZ_CP051858.1	2344489	2344959	-	471	20	43	66	49	28	47	33	92	66	29
HIS92_RS12085	NZ_CP051858.1	2345180	2345860	-	681	741	1254	764	1231	1128	1733	1471	1625	1333	592
HIS92_RS12090	NZ_CP051858.1	2345975	2347174	-	1200	214	298	270	346	422	586	452	466	564	446
HIS92_RS12095	NZ_CP051858.1	2347171	2347851	-	681	63	94	86	80	131	202	147	160	191	198
HIS92_RS12100	NZ_CP051858.1	2347848	2349041	-	1194	110	169	201	139	225	321	210	300	322	182
HIS92_RS12105	NZ_CP051858.1	2349424	2349615	+	192	116	134	273	216	209	214	291	349	233	74
HIS92_RS12110	NZ_CP051858.1	2349616	2350128	+	513	100	134	165	229	246	291	271	356	343	73
HIS92_RS12115	NZ_CP051858.1	2350238	2351572	-	1335	31	57	98	106	42	47	53	84	118	78
HIS92_RS12120	NZ_CP051858.1	2351592	2352626	-	1035	57	83	115	148	32	52	42	100	130	92
HIS92_RS12125	NZ_CP051858.1	2352623	2353405	-	783	74	112	175	202	63	70	100	123	87	74
HIS92_RS12130	NZ_CP051858.1	2353472	2354902	-	1431	57	78	148	120	42	88	61	144	180	136
HIS92_RS12135	NZ_CP051858.1	2354914	2355585	-	672	7	38	143	73	16	54	14	116	143	38
HIS92_RS12140	NZ_CP051858.1	2355699	2356517	-	819	255	455	287	548	536	671	777	1036	1241	887
HIS92_RS12145	NZ_CP051858.1	2356616	2357524	-	909	1357	1649	1828	2075	1501	2190	2006	2538	1632	806
HIS92_RS12150	NZ_CP051858.1	2357665	2358687	-	1023	44	101	122	121	139	157	202	279	255	262
HIS92_RS12155	NZ_CP051858.1	2358836	2360158	-	1323	66	102	94	110	140	120	185	271	243	334
HIS92_RS12160	NZ_CP051858.1	2360219	2361001	-	783	192	202	216	298	277	239	360	509	506	418
HIS92_RS12165	NZ_CP051858.1	2361200	2362297	-	1098	335	511	266	648	456	479	696	926	981	791
HIS92_RS12170	NZ_CP051858.1	2362297	2363502	-	1206	217	366	200	431	335	328	459	625	675	585
HIS92_RS12175	NZ_CP051858.1	2363551	2364801	-	1251	206	295	239	399	297	307	407	655	728	661
HIS92_RS12180	NZ_CP051858.1	2364878	2365537	-	660	23	22	71	71	27	27	37	83	152	163
HIS92_RS12185	NZ_CP051858.1	2365556	2366434	-	879	23	18	51	52	14	30	17	58	177	168
HIS92_RS12190	NZ_CP051858.1	2366674	2367441	-	768	131	151	87	239	118	85	128	205	289	188
HIS92_RS12195	NZ_CP051858.1	2367553	2368254	-	702	414	486	431	673	528	471	660	1019	1694	1335
HIS92_RS12200	NZ_CP051858.1	2368244	2368987	-	744	303	240	311	286	222	275	366	523	1171	890
HIS92_RS12205	NZ_CP051858.1	2369251	2369928	-	678	104	185	109	172	91	155	159	209	216	71
HIS92_RS12210	NZ_CP051858.1	2370270	2370704	-	435	4183	4976	3095	6297	2890	3425	4050	4529	2811	1458
HIS92_RS12215	NZ_CP051858.1	2371133	2372134	-	1002	447	654	392	768	570	683	855	1224	1470	1414
HIS92_RS12220	NZ_CP051858.1	2372295	2372567	-	273	3	4	14	10	4	1	0	24	16	5
HIS92_RS12225	NZ_CP051858.1	2372876	2373010	-	135	2	2	9	6	0	3	1	5	12	3
HIS92_RS12230	NZ_CP051858.1	2373152	2374057	-	906	9	15	53	23	6	25	11	37	36	12
HIS92_RS12235	NZ_CP051858.1	2374220	2374927	-	708	73	84	123	100	73	66	79	133	108	34
HIS92_RS12240	NZ_CP051858.1	2374927	2375769	-	843	9	15	28	29	25	34	27	37	61	29
HIS92_RS12245	NZ_CP051858.1	2375951	2376958	-	1008	30	32	122	52	30	47	63	95	141	33
HIS92_RS12250	NZ_CP051858.1	2377057	2378076	-	1020	23	24	111	63	12	21	16	87	99	34
HIS92_RS12255	NZ_CP051858.1	2378285	2379589	-	1305	1148	1767	951	1774	1744	1972	2048	2934	4939	3405
HIS92_RS12260	NZ_CP051858.1	2379629	2380339	-	711	429	498	389	581	506	563	718	971	1354	1168
HIS92_RS12265	NZ_CP051858.1	2380385	2380621	-	237	209	218	143	228	232	231	256	378	632	419
HIS92_RS12270	NZ_CP051858.1	2380824	2382344	-	1521	47	54	87	31	28	31	13	67	135	70
HIS92_RS12275	NZ_CP051858.1	2382346	2383848	-	1503	34	47	104	30	21	43	13	54	124	47
HIS92_RS12280	NZ_CP051858.1	2383845	2385707	-	1863	34	51	165	75	15	43	14	119	179	39
HIS92_RS12285	NZ_CP051858.1	2385738	2386052	-	315	2	1	13	3	3	5	0	8	10	1
HIS92_RS12290	NZ_CP051858.1	2386045	2386569	-	525	2	1	19	3	1	3	1	1	9	9
HIS92_RS12295	NZ_CP051858.1	2386566	2386985	-	420	4	4	14	9	2	1	0	8	31	9
HIS92_RS12300	NZ_CP051858.1	2387011	2388012	-	1002	5	9	69	24	3	18	6	56	79	13
HIS92_RS12305	NZ_CP051858.1	2388012	2389112	-	1101	9	21	111	48	14	17	9	104	100	34
HIS92_RS12310	NZ_CP051858.1	2389115	2390449	-	1335	13	15	284	75	6	35	7	136	190	36
HIS92_RS12315	NZ_CP051858.1	2390446	2390964	-	519	6	10	34	14	1	10	5	40	40	8
HIS92_RS12320	NZ_CP051858.1	2390955	2391323	-	369	1	7	37	14	6	5	3	18	18	5
HIS92_RS12325	NZ_CP051858.1	2391578	2394307	+	2730	23	33	52	25	16	37	27	51	61	42
HIS92_RS12330	NZ_CP051858.1	2394331	2394975	-	645	53	71	58	89	73	92	91	171	194	62
HIS92_RS12335	NZ_CP051858.1	2395020	2395805	-	786	52	92	74	86	82	111	80	142	212	68
HIS92_RS12340	NZ_CP051858.1	2395945	2396346	-	402	2579	3157	2608	3120	2939	3442	2927	3961	3497	5015
HIS92_RS12345	NZ_CP051858.1	2396367	2397773	-	1407	7127	9859	6324	8742	8158	9728	7751	10832	12803	23962
HIS92_RS12350	NZ_CP051858.1	2398134	2398994	-	861	3176	4921	2930	4376	4062	4735	3726	5381	6803	11791
HIS92_RS12355	NZ_CP051858.1	2399246	2400754	-	1509	5679	8906	5775	8715	6341	7772	6416	8971	11053	19600
HIS92_RS12360	NZ_CP051858.1	2400766	2401308	-	543	1482	2500	1724	2702	1940	2237	2117	2749	3002	4196
HIS92_RS12365	NZ_CP051858.1	2401305	2401811	-	507	2541	3431	3104	3520	2650	3339	3126	3926	4333	5284
HIS92_RS12370	NZ_CP051858.1	2401941	2402159	-	219	2326	3481	2955	3849	2127	3231	3226	3648	3044	3199
HIS92_RS12375	NZ_CP051858.1	2402216	2402935	-	720	5241	7062	7343	8745	5629	7817	7321	9136	9029	7929
HIS92_RS12380	NZ_CP051858.1	2402943	2403335	-	393	451	678	573	694	453	740	684	773	496	423
HIS92_RS12385	NZ_CP051858.1	2403335	2403559	-	225	2935	2361	2985	2843	1920	2325	2617	2713	2022	698
HIS92_RS12390	NZ_CP051858.1	2403586	2403699	-	114	2	8	17	7	8	4	5	9	10	4
HIS92_RS12395	NZ_CP051858.1	2404081	2404710	-	630	690	1034	566	1070	1047	1225	1189	1537	1731	1203
HIS92_RS12400	NZ_CP051858.1	2404983	2406224	-	1242	410	514	442	705	729	860	711	974	945	600
HIS92_RS12405	NZ_CP051858.1	2406478	2407068	-	591	466	800	534	989	729	885	1044	1200	1087	512
HIS92_RS12410	NZ_CP051858.1	2407117	2407560	-	444	214	466	272	644	442	527	668	722	595	382
HIS92_RS12415	NZ_CP051858.1	2407657	2408097	-	441	15	18	34	26	10	11	7	27	36	13
HIS92_RS12420	NZ_CP051858.1	2408340	2408837	-	498	4706	6786	2182	7778	3623	3771	5518	6375	3565	1455
HIS92_RS12425	NZ_CP051858.1	2409225	2409611	+	387	39	34	62	47	36	30	25	58	51	8
HIS92_RS12430	NZ_CP051858.1	2409770	2410381	+	612	34	41	36	63	49	50	36	45	66	68
HIS92_RS12435	NZ_CP051858.1	2410845	2412001	-	1157	26	26	32	34	31	25	20	39	35	39
HIS92_RS12440	NZ_CP051858.1	2412106	2412384	-	279	309	412	298	448	304	407	383	481	314	187
HIS92_RS12445	NZ_CP051858.1	2412617	2413165	-	549	101	127	150	150	103	135	156	217	132	119
HIS92_RS12450	NZ_CP051858.1	2413243	2414283	-	1041	94	145	173	180	140	166	108	210	139	153
HIS92_RS12455	NZ_CP051858.1	2414392	2414850	-	459	50	57	68	53	53	41	80	94	68	62
HIS92_RS12460	NZ_CP051858.1	2414900	2415763	-	864	10	14	73	38	8	20	1	70	92	23
HIS92_RS12465	NZ_CP051858.1	2415876	2416727	-	852	124	194	142	205	135	149	137	238	234	180
HIS92_RS12470	NZ_CP051858.1	2416727	2417794	-	1068	962	1404	1325	1741	1468	1663	1787	2502	2359	1974
HIS92_RS12475	NZ_CP051858.1	2418061	2418648	-	588	291	368	360	470	497	507	571	982	1785	1454
HIS92_RS12480	NZ_CP051858.1	2418757	2419002	-	246	44593	35716	27383	44489	37004	35392	46712	55905	32121	14603
HIS92_RS12485	NZ_CP051858.1	2419280	2420551	-	1272	3952	4728	2789	4345	3275	3726	3773	4554	3361	3332
HIS92_RS12490	NZ_CP051858.1	2421068	2422033	-	966	926	1503	1399	1848	1299	1549	1434	1938	1905	1521
HIS92_RS12495	NZ_CP051858.1	2422150	2423439	-	1290	582	1073	770	1155	719	1101	974	1457	1644	1406
HIS92_RS12500	NZ_CP051858.1	2423921	2424778	-	858	11677	17595	13190	17175	13144	16635	15055	18412	17146	19336
HIS92_RS12505	NZ_CP051858.1	2424989	2425357	-	369	525	637	906	832	649	844	903	918	943	449
HIS92_RS12510	NZ_CP051858.1	2425559	2426083	+	525	264	326	134	390	229	258	354	430	275	167
HIS92_RS12515	NZ_CP051858.1	2426124	2427731	-	1608	1325	1508	1005	1249	1385	1436	1378	2236	2561	5476
HIS92_RS12520	NZ_CP051858.1	2427989	2428522	-	534	2663	3435	1160	3621	2661	2665	3628	4313	3781	2781
HIS92_RS12525	NZ_CP051858.1	2428678	2429307	-	630	4	15	22	21	4	10	8	41	36	10
HIS92_RS12530	NZ_CP051858.1	2429374	2430513	-	1140	10	12	89	25	6	15	2	47	76	11
HIS92_RS12535	NZ_CP051858.1	2430535	2431665	-	1131	9	15	66	10	6	4	4	35	65	15
HIS92_RS12540	NZ_CP051858.1	2431739	2432590	-	852	11	33	101	30	6	21	5	92	119	21
HIS92_RS12545	NZ_CP051858.1	2432640	2433923	-	1284	10	22	139	49	19	24	23	101	111	33
HIS92_RS12550	NZ_CP051858.1	2433933	2436044	-	2112	132	164	224	207	110	136	138	372	304	116
HIS92_RS12555	NZ_CP051858.1	2436642	2436848	+	207	25	25	7	16	21	22	24	29	22	11
HIS92_RS12560	NZ_CP051858.1	2436845	2437276	+	432	53	52	53	61	45	62	55	90	82	21
HIS92_RS12565	NZ_CP051858.1	2437721	2437933	+	213	31	24	28	23	26	21	29	27	36	14
HIS92_RS12570	NZ_CP051858.1	2438117	2438956	-	840	239	321	200	426	362	329	335	474	384	143
HIS92_RS12575	NZ_CP051858.1	2438946	2439287	-	342	105	99	100	130	119	94	105	219	105	45
HIS92_RS12580	NZ_CP051858.1	2440016	2440720	+	705	19005	21317	23797	32557	31825	39074	38935	34829	12932	2808
HIS92_RS12585	NZ_CP051858.1	2440763	2441140	-	378	35	135	30	338	304	144	369	388	109	33
HIS92_RS12590	NZ_CP051858.1	2441133	2441339	-	207	690	756	482	1342	1180	869	1356	1460	681	196
HIS92_RS12595	NZ_CP051858.1	2441469	2442380	+	912	1057	1619	1272	2107	1331	1594	1807	1530	802	141
HIS92_RS12600	NZ_CP051858.1	2442405	2442839	+	435	322	616	400	904	545	581	697	578	411	55
HIS92_RS12605	NZ_CP051858.1	2442836	2443297	+	462	553	818	607	1141	689	676	871	820	371	80
HIS92_RS12610	NZ_CP051858.1	2443490	2445421	-	1932	1080	1618	1142	1992	1113	1370	1386	1709	1758	799
HIS92_RS12615	NZ_CP051858.1	2445421	2445906	-	486	392	359	453	481	297	374	341	486	529	199
HIS92_RS12620	NZ_CP051858.1	2445899	2447203	-	1305	853	1195	871	1346	1160	1401	1552	1884	1042	347
HIS92_RS12625	NZ_CP051858.1	2447658	2449175	-	1518	63	73	84	85	97	78	70	121	98	36
HIS92_RS12630	NZ_CP051858.1	2449172	2450158	-	987	10	14	54	17	12	20	14	41	48	7
HIS92_RS12635	NZ_CP051858.1	2450173	2452098	-	1926	72	101	115	121	54	74	79	124	132	53
HIS92_RS12640	NZ_CP051858.1	2452091	2452732	-	642	33	53	80	51	39	51	52	81	77	18
HIS92_RS12645	NZ_CP051858.1	2453511	2454704	+	1194	38	34	33	4	16	23	6	27	39	24
HIS92_RS12650	NZ_CP051858.1	2454737	2455690	+	954	23	16	25	9	12	11	2	13	48	26
HIS92_RS12655	NZ_CP051858.1	2455814	2458495	+	2682	127	233	115	236	220	256	296	336	509	267
HIS92_RS12660	NZ_CP051858.1	2458512	2458658	-	147	130	179	174	239	137	183	201	206	143	56
HIS92_RS12665	NZ_CP051858.1	2458747	2459604	-	858	785	1190	830	1745	1237	1347	1712	1692	681	278
HIS92_RS12670	NZ_CP051858.1	2459773	2461524	+	1752	561	657	980	1976	510	552	669	611	125	33
HIS92_RS12675	NZ_CP051858.1	2461565	2462167	-	603	25	37	46	37	22	35	32	51	48	33
HIS92_RS12680	NZ_CP051858.1	2462164	2463294	-	1131	31	33	61	30	39	85	45	65	74	53
HIS92_RS12685	NZ_CP051858.1	2463295	2464029	-	735	4	8	35	19	2	3	1	28	37	10
HIS92_RS12690	NZ_CP051858.1	2464026	2464928	-	903	3	22	84	33	3	17	12	68	94	29
HIS92_RS12695	NZ_CP051858.1	2465086	2465880	+	795	1262	1670	759	1926	1133	1344	1535	1699	909	443
HIS92_RS12700	NZ_CP051858.1	2466660	2476340	+	9681	5639	8202	6841	8088	8028	10555	10697	12168	8117	7991
HIS92_RS12705	NZ_CP051858.1	2476830	2478230	+	1401	21	45	40	38	28	38	31	55	66	30
HIS92_RS12710	NZ_CP051858.1	2478377	2478751	+	375	13	19	12	42	19	9	19	24	14	6
HIS92_RS12715	NZ_CP051858.1	2478778	2479449	-	672	9	12	80	28	3	19	16	76	96	16
HIS92_RS12720	NZ_CP051858.1	2479433	2479747	-	315	3	2	20	6	2	0	3	20	18	6
HIS92_RS12725	NZ_CP051858.1	2479734	2480261	-	528	1	6	22	23	4	14	9	38	47	3
HIS92_RS12730	NZ_CP051858.1	2480659	2482329	-	1671	472	635	381	652	775	744	876	1295	1545	1700
HIS92_RS12735	NZ_CP051858.1	2482329	2482766	-	438	64	64	80	56	80	56	92	156	190	216
HIS92_RS12740	NZ_CP051858.1	2482969	2483955	+	987	65	117	68	157	72	107	145	164	140	30
HIS92_RS12745	NZ_CP051858.1	2483981	2484343	-	363	95	115	66	119	99	92	148	191	105	53
HIS92_RS12750	NZ_CP051858.1	2484578	2485615	+	1038	239	203	294	284	215	238	283	453	521	462
HIS92_RS12755	NZ_CP051858.1	2485867	2486739	-	873	181	215	238	314	240	303	368	679	740	452
HIS92_RS12760	NZ_CP051858.1	2486959	2487786	-	828	106	179	132	295	207	244	247	466	458	286
HIS92_RS12765	NZ_CP051858.1	2487951	2489114	-	1164	24	40	126	73	33	66	40	123	168	34
HIS92_RS12770	NZ_CP051858.1	2489120	2489527	-	408	13	8	35	23	10	13	23	32	34	20
HIS92_RS12775	NZ_CP051858.1	2489680	2490405	+	726	132	228	103	274	171	247	261	259	133	72
HIS92_RS12780	NZ_CP051858.1	2490507	2492558	+	2052	24	36	91	64	32	44	34	77	80	60
HIS92_RS12785	NZ_CP051858.1	2492593	2493102	-	510	1097	1538	1394	1989	1242	1485	1510	1802	1422	676
HIS92_RS12790	NZ_CP051858.1	2493128	2493802	-	675	493	629	453	750	535	761	697	770	617	382
HIS92_RS12795	NZ_CP051858.1	2493915	2494100	+	186	260	385	248	468	232	299	321	279	236	91
HIS92_RS12800	NZ_CP051858.1	2494140	2495444	-	1305	812	1304	896	1601	1117	1327	1330	1749	1048	726
HIS92_RS12805	NZ_CP051858.1	2495590	2496528	-	939	5668	8042	6230	10420	10313	11967	13898	17698	13954	5122
HIS92_RS12810	NZ_CP051858.1	2496719	2497531	-	813	965	1201	1178	1347	1569	1691	1889	2605	2647	1476
HIS92_RS12815	NZ_CP051858.1	2497547	2498563	-	1017	257	315	277	281	455	527	494	790	887	855
HIS92_RS12820	NZ_CP051858.1	2498560	2499615	-	1056	277	274	273	250	451	558	532	689	644	638
HIS92_RS12825	NZ_CP051858.1	2499927	2500151	-	225	50	44	38	54	40	47	52	57	86	61
HIS92_RS12830	NZ_CP051858.1	2500436	2501128	+	693	34	31	28	31	15	25	12	22	35	13
HIS92_RS12835	NZ_CP051858.1	2501258	2502103	+	846	494	618	677	768	655	865	902	1239	1426	948
HIS92_RS12840	NZ_CP051858.1	2502152	2503123	-	972	2988	3526	2104	4005	2957	3246	3796	4971	7241	6260
HIS92_RS12845	NZ_CP051858.1	2503403	2504146	+	744	4694	7488	4828	8589	4655	6439	5827	6682	6033	2233
HIS92_RS12850	NZ_CP051858.1	2504350	2505621	+	1272	274	282	172	303	303	288	402	574	1485	786
HIS92_RS12855	NZ_CP051858.1	2505952	2506374	+	423	7	5	18	10	5	11	3	12	36	15
HIS92_RS12860	NZ_CP051858.1	2506402	2506821	+	420	5	7	14	11	7	10	4	28	27	21
HIS92_RS12865	NZ_CP051858.1	2506853	2507221	-	369	471	439	467	492	275	436	394	484	331	185
HIS92_RS12870	NZ_CP051858.1	2507286	2507573	-	288	51	68	63	75	40	52	63	92	99	72
HIS92_RS12875	NZ_CP051858.1	2507580	2508572	-	993	65	90	177	100	52	72	74	185	212	109
HIS92_RS12880	NZ_CP051858.1	2508668	2509951	+	1284	344	423	321	483	416	498	507	629	588	634
HIS92_RS12885	NZ_CP051858.1	2510180	2511001	+	822	1182	1532	509	1533	896	1038	1119	1291	927	647
HIS92_RS12890	NZ_CP051858.1	2511211	2511501	+	291	1807	1078	981	997	1814	2001	2088	2189	1382	359
HIS92_RS12895	NZ_CP051858.1	2511543	2512220	-	678	199	365	268	387	146	231	225	311	248	160
HIS92_RS12900	NZ_CP051858.1	2512240	2513232	-	993	187	322	224	362	164	223	179	266	234	151
HIS92_RS12905	NZ_CP051858.1	2513225	2514142	-	918	185	253	236	274	123	140	197	249	178	146
HIS92_RS12910	NZ_CP051858.1	2514139	2515020	-	882	141	174	148	218	102	142	138	183	107	53
HIS92_RS12915	NZ_CP051858.1	2515031	2516008	-	978	16	45	67	38	40	35	26	50	77	28
HIS92_RS12920	NZ_CP051858.1	2516106	2516732	+	627	25	29	39	41	26	33	26	50	46	19
HIS92_RS12925	NZ_CP051858.1	2516763	2518058	-	1296	15	23	114	52	12	39	16	83	131	30
HIS92_RS12930	NZ_CP051858.1	2518200	2519105	-	906	6	3	32	14	4	7	3	23	45	4
HIS92_RS12935	NZ_CP051858.1	2519089	2520387	-	1299	11	17	105	40	9	30	17	90	109	21
HIS92_RS12940	NZ_CP051858.1	2520768	2521463	-	696	14	29	70	49	12	15	33	53	75	14
HIS92_RS12945	NZ_CP051858.1	2521571	2522242	+	672	77	132	73	215	90	134	149	183	110	47
HIS92_RS12950	NZ_CP051858.1	2522302	2522928	-	627	96	56	45	48	58	32	44	88	106	108
HIS92_RS12955	NZ_CP051858.1	2523120	2523767	-	648	6	15	67	33	12	21	6	76	82	28
HIS92_RS12960	NZ_CP051858.1	2523788	2525338	-	1551	6	42	154	50	14	38	24	122	170	42
HIS92_RS12965	NZ_CP051858.1	2525473	2526297	+	825	1047	1732	748	1796	906	1162	1106	1413	1142	802
HIS92_RS12970	NZ_CP051858.1	2526383	2527441	-	1059	138	226	216	272	173	218	239	393	399	209
HIS92_RS12975	NZ_CP051858.1	2527589	2527792	-	204	7	9	28	9	3	5	9	38	37	8
HIS92_RS12980	NZ_CP051858.1	2527785	2529863	-	2079	60	120	224	139	107	144	150	223	281	96
HIS92_RS12985	NZ_CP051858.1	2529986	2530702	-	717	202	374	147	389	284	346	456	456	339	69
HIS92_RS12990	NZ_CP051858.1	2530921	2532120	-	1200	30	53	108	90	29	48	62	112	124	37
HIS92_RS12995	NZ_CP051858.1	2532336	2533076	-	741	58	90	99	102	114	105	119	183	275	407
HIS92_RS13000	NZ_CP051858.1	2533098	2534207	-	1110	95	110	179	187	155	153	191	330	427	404
HIS92_RS13005	NZ_CP051858.1	2534303	2535775	-	1473	778	838	745	1115	721	630	1028	1514	2996	2264
HIS92_RS13010	NZ_CP051858.1	2536240	2536872	+	633	172	190	153	249	193	152	230	383	357	262
HIS92_RS13015	NZ_CP051858.1	2537007	2538308	+	1302	229	376	133	542	356	291	401	527	341	190
HIS92_RS13020	NZ_CP051858.1	2538397	2539710	-	1314	497	616	954	960	700	773	1024	1372	2035	645
HIS92_RS13025	NZ_CP051858.1	2540009	2540521	+	513	128	204	65	211	152	165	184	204	223	217
HIS92_RS13030	NZ_CP051858.1	2540739	2541467	+	729	255	381	358	498	372	294	497	662	1188	610
HIS92_RS13035	NZ_CP051858.1	2541474	2541830	+	357	27	120	42	326	303	216	395	506	715	416
HIS92_RS13040	NZ_CP051858.1	2541907	2543184	-	1278	127	113	198	146	129	172	189	270	679	335
HIS92_RS13045	NZ_CP051858.1	2543410	2544390	+	981	218	264	117	221	162	186	225	249	416	334
HIS92_RS13050	NZ_CP051858.1	2544488	2545909	+	1422	455	574	376	507	439	526	546	825	1190	925
HIS92_RS13055	NZ_CP051858.1	2546219	2548885	+	2667	693	883	636	1033	911	929	1143	1541	2247	2440
HIS92_RS13060	NZ_CP051858.1	2548982	2549920	+	939	686	715	667	870	954	969	1174	1405	1532	1506
HIS92_RS13065	NZ_CP051858.1	2549970	2550908	-	939	50	56	116	85	34	64	58	162	187	43
HIS92_RS13070	NZ_CP051858.1	2550968	2551540	-	573	168	317	124	342	226	240	428	495	263	113
HIS92_RS13075	NZ_CP051858.1	2551710	2553263	+	1554	461	697	294	775	505	516	709	997	972	815
HIS92_RS13080	NZ_CP051858.1	2553305	2554180	-	876	228	220	211	282	184	206	321	421	338	153
HIS92_RS13085	NZ_CP051858.1	2554321	2557437	+	3117	1911	1614	2198	1475	2238	2024	2591	3650	7249	5868
HIS92_RS13090	NZ_CP051858.1	2557466	2558431	-	966	118	186	142	186	75	116	118	165	153	113
HIS92_RS13095	NZ_CP051858.1	2558533	2559567	-	1035	2299	3615	2008	4023	2519	3220	3525	3928	2305	748
HIS92_RS13100	NZ_CP051858.1	2559891	2560583	-	693	6341	9718	7074	16132	15193	14811	15413	23716	5006	1820
HIS92_RS13105	NZ_CP051858.1	2560619	2561050	-	432	2356	3733	2450	6054	6012	5540	6175	8968	2673	952
HIS92_RS13110	NZ_CP051858.1	2561183	2561923	-	741	107	180	122	226	96	199	197	259	124	68
HIS92_RS13115	NZ_CP051858.1	2561901	2563670	-	1770	249	408	352	579	440	562	582	811	357	181
HIS92_RS13120	NZ_CP051858.1	2563995	2565293	+	1299	61	79	134	112	74	93	85	144	145	42
HIS92_RS13125	NZ_CP051858.1	2565346	2566914	-	1569	19	21	116	47	20	38	31	126	162	46
HIS92_RS13130	NZ_CP051858.1	2567275	2568345	-	1071	519	772	426	1215	709	962	1071	1389	493	180
HIS92_RS13135	NZ_CP051858.1	2568562	2569188	+	627	2555	4202	3087	6273	3544	4783	4985	5622	498	196
HIS92_RS13140	NZ_CP051858.1	2569277	2570164	-	888	34	66	88	76	37	66	47	116	109	40
HIS92_RS13145	NZ_CP051858.1	2570267	2570857	-	591	82	54	103	74	33	46	40	128	112	31
HIS92_RS13150	NZ_CP051858.1	2571230	2571631	+	402	22	34	18	16	14	16	8	20	28	5
HIS92_RS13155	NZ_CP051858.1	2572200	2573216	-	1017	286	560	293	852	513	635	793	901	796	247
HIS92_RS13160	NZ_CP051858.1	2573401	2574048	-	648	318	279	238	338	150	169	242	326	230	102
HIS92_RS13165	NZ_CP051858.1	2574213	2574773	+	561	82	88	65	153	59	59	96	109	68	27
HIS92_RS13170	NZ_CP051858.1	2574814	2576259	-	1446	116	148	162	288	148	194	226	308	377	168
HIS92_RS13175	NZ_CP051858.1	2576738	2577721	+	984	189	220	82	118	211	226	207	291	905	191
HIS92_RS13180	NZ_CP051858.1	2577858	2579675	+	1818	40	43	46	64	26	34	42	61	57	27
HIS92_RS13185	NZ_CP051858.1	2579713	2580591	-	879	89	118	128	140	68	117	103	197	197	84
HIS92_RS13190	NZ_CP051858.1	2580751	2582223	-	1473	29	74	155	123	48	83	75	206	293	52
HIS92_RS13195	NZ_CP051858.1	2582405	2583561	-	1157	11	21	20	17	8	11	13	31	28	24
HIS92_RS13200	NZ_CP051858.1	2583747	2585315	-	1569	59	90	185	154	81	92	108	237	279	54
HIS92_RS13205	NZ_CP051858.1	2585330	2585491	-	162	1	6	13	1	0	5	0	13	20	1
HIS92_RS13210	NZ_CP051858.1	2585503	2586279	-	777	2	2	46	14	4	22	7	45	52	18
HIS92_RS13215	NZ_CP051858.1	2586515	2587270	-	756	4	18	60	42	6	14	10	74	78	10
HIS92_RS13220	NZ_CP051858.1	2587443	2587886	-	444	5	11	42	20	7	18	13	43	63	8
HIS92_RS13225	NZ_CP051858.1	2588158	2588373	+	216	60	64	67	75	47	86	93	84	82	8
HIS92_RS13230	NZ_CP051858.1	2588473	2588934	+	462	91	108	54	131	101	112	151	167	101	20
HIS92_RS13235	NZ_CP051858.1	2589300	2590799	-	1500	771	1342	731	2030	1303	1429	1743	2223	2445	844
HIS92_RS13240	NZ_CP051858.1	2590867	2592183	-	1317	1081	1901	1101	2502	1490	1503	1743	2064	1885	787
HIS92_RS13245	NZ_CP051858.1	2592165	2593457	-	1293	1335	2004	1686	2583	1649	1792	1755	2185	1427	638
HIS92_RS13250	NZ_CP051858.1	2593675	2595264	-	1590	198	343	219	404	234	330	356	471	412	144
HIS92_RS13255	NZ_CP051858.1	2595564	2595920	-	357	8	17	62	14	2	12	7	31	57	9
HIS92_RS13260	NZ_CP051858.1	2595892	2596794	-	903	4	13	60	32	13	10	10	53	71	17
HIS92_RS13265	NZ_CP051858.1	2596963	2597286	-	324	2	5	24	12	5	6	9	15	23	3
HIS92_RS13270	NZ_CP051858.1	2597372	2597608	-	237	1	3	22	13	3	3	3	15	17	4
HIS92_RS13275	NZ_CP051858.1	2598435	2599259	-	825	10	8	62	48	13	24	11	58	74	10
HIS92_RS13280	NZ_CP051858.1	2599757	2600212	-	456	16	21	88	46	15	37	14	56	91	22
HIS92_RS13285	NZ_CP051858.1	2601061	2602878	-	1818	1316	2000	1727	2955	1644	2052	2452	2939	2217	1028
HIS92_RS13290	NZ_CP051858.1	2602897	2603202	-	306	182	371	164	491	272	277	367	414	272	123
HIS92_RS13295	NZ_CP051858.1	2603204	2604109	-	906	102	158	183	256	136	171	197	302	324	135
HIS92_RS13300	NZ_CP051858.1	2604096	2605082	-	987	946	1239	990	2165	1450	1325	1820	2136	1379	583
HIS92_RS13305	NZ_CP051858.1	2605335	2605814	-	480	35	60	71	124	80	70	103	178	218	177
HIS92_RS13310	NZ_CP051858.1	2605874	2606059	-	186	5	17	6	18	13	14	31	29	40	43
HIS92_RS13315	NZ_CP051858.1	2606113	2607288	-	1176	210	249	302	339	237	279	301	421	651	805
HIS92_RS13320	NZ_CP051858.1	2607352	2608146	-	795	195	259	246	302	209	259	265	406	515	554
