Geneid	Chr	Start	End	Strand	Length	G-t0-1	G-t0-2	G-t5-1	G-t5-2	G-t10-1	G-t10-2	G-t20-1	G-t20-2	G-t30-1	G-t30-2	G_M-t5-1	G_M-t5-2	G_M-t10-1	G_M-t10-2	G_M-t20-1	G_M-t20-2	G_M-t30-1	G_M-t30-2
HIS92_RS10500	NZ_CP051858.1	2034674	2035087	-	414	6	11	7	3	7	3	12	1	2	6	8	8	17	4	10	6	7	7
HIS92_RS10505	NZ_CP051858.1	2035195	2036547	-	1353	3064	7096	5015	6822	6389	7488	7085	4602	2918	4502	4052	4534	6635	4151	6018	5662	4516	4757
HIS92_RS10510	NZ_CP051858.1	2036822	2037055	+	234	16	12	3	5	9	0	11	3	11	9	11	3	2	15	10	13	4	10
HIS92_RS10515	NZ_CP051858.1	2037165	2037509	-	345	801	563	639	523	658	545	729	435	939	511	644	418	663	489	516	1083	726	968
HIS92_RS10520	NZ_CP051858.1	2037763	2038953	-	1191	94	167	177	164	232	201	206	133	120	166	109	122	171	119	128	207	122	140
HIS92_RS10525	NZ_CP051858.1	2038950	2039447	-	498	16	23	42	19	38	32	31	15	17	20	18	26	38	25	26	25	21	6
HIS92_RS10530	NZ_CP051858.1	2039714	2040706	+	993	178	387	379	379	448	387	432	281	230	333	276	300	437	264	434	417	448	383
HIS92_RS10535	NZ_CP051858.1	2040816	2041655	+	840	2	2	0	0	0	2	4	0	1	0	0	1	0	1	0	0	0	4
HIS92_RS10540	NZ_CP051858.1	2041775	2042026	-	252	129	107	121	51	74	80	82	69	126	51	76	90	72	69	49	137	77	109
HIS92_RS10545	NZ_CP051858.1	2042144	2043295	+	1152	54	83	93	122	130	116	178	105	82	112	62	70	156	73	157	101	85	81
HIS92_RS10550	NZ_CP051858.1	2043394	2043933	-	540	9	12	14	11	14	7	13	18	21	8	8	10	5	5	8	8	7	3
HIS92_RS10555	NZ_CP051858.1	2044002	2044178	-	177	2	3	0	0	4	0	5	3	4	3	4	0	1	0	1	0	0	1
HIS92_RS10560	NZ_CP051858.1	2044344	2044727	+	384	824	457	470	291	445	362	509	301	722	310	437	240	442	329	326	638	417	494
HIS92_RS10565	NZ_CP051858.1	2044769	2045392	-	624	2	3	6	3	3	12	6	7	2	5	1	3	3	9	4	4	2	7
HIS92_RS10570	NZ_CP051858.1	2045682	2047007	+	1326	1585	1693	1659	1784	1680	1598	1895	2439	2307	2352	1591	2029	1614	1820	1442	2596	1397	2752
HIS92_RS10575	NZ_CP051858.1	2047087	2047554	-	468	2	6	3	0	2	4	5	4	1	3	7	4	6	10	7	1	7	5
HIS92_RS10580	NZ_CP051858.1	2047672	2048385	+	714	12	47	34	43	36	54	56	28	29	32	20	29	50	36	58	61	32	41
HIS92_RS10585	NZ_CP051858.1	2048732	2050108	+	1377	4452	6463	7600	6204	9490	6858	9553	5129	4533	5670	5546	4602	9439	4044	7504	5411	5575	4844
HIS92_RS10590	NZ_CP051858.1	2050148	2050531	-	384	263	293	361	287	343	325	428	237	316	240	258	236	398	204	343	392	392	322
HIS92_RS10595	NZ_CP051858.1	2050627	2051370	+	744	2	0	3	0	1	2	0	1	0	0	2	3	3	4	6	2	0	2
HIS92_RS10600	NZ_CP051858.1	2051421	2052014	+	594	18	16	15	17	20	19	24	28	22	25	20	17	13	14	12	20	15	22
HIS92_RS10605	NZ_CP051858.1	2052060	2052947	-	888	1708	2273	2020	1808	2265	2115	2566	1676	1859	1599	1491	1374	2352	1346	1870	2158	1558	1639
HIS92_RS10610	NZ_CP051858.1	2053055	2054779	-	1725	2963	4355	3847	3806	4901	4586	5410	3403	3208	3513	3345	2752	5102	2783	4142	4484	3278	3835
HIS92_RS10615	NZ_CP051858.1	2054923	2055528	+	606	0	2	1	0	2	1	1	1	3	6	0	2	3	4	3	3	1	2
HIS92_RS10620	NZ_CP051858.1	2055710	2057194	-	1485	187	420	358	347	438	410	478	319	240	300	221	278	389	255	356	289	318	201
HIS92_RS10625	NZ_CP051858.1	2057340	2057966	-	627	5	5	7	1	3	3	1	4	7	1	6	4	8	7	2	1	3	9
HIS92_RS10630	NZ_CP051858.1	2058054	2058371	-	318	3	7	15	6	12	15	18	13	8	14	7	13	14	17	12	9	10	11
HIS92_RS10635	NZ_CP051858.1	2058368	2058874	-	507	7	5	9	4	10	10	7	7	7	5	7	13	6	3	7	10	4	4
HIS92_RS10640	NZ_CP051858.1	2058998	2060206	-	1209	1411	1188	1321	1104	1560	1254	1513	1038	1214	865	1079	931	1429	833	1074	1128	793	594
HIS92_RS10645	NZ_CP051858.1	2060668	2061657	+	990	173	383	329	455	361	470	502	358	287	304	248	407	371	289	422	443	349	340
HIS92_RS10650	NZ_CP051858.1	2061783	2062259	+	477	515	301	537	504	569	293	515	572	649	271	491	446	489	520	1693	1568	1713	2763
HIS92_RS10655	NZ_CP051858.1	2062488	2063735	+	1248	273	513	395	570	493	539	451	647	431	469	321	640	451	499	464	610	278	472
HIS92_RS10660	NZ_CP051858.1	2063753	2064634	-	882	1	3	1	3	4	7	2	0	4	2	1	9	3	2	5	6	0	8
HIS92_RS10665	NZ_CP051858.1	2064715	2065176	+	462	598	404	456	253	253	262	258	458	733	449	377	436	217	497	146	836	286	572
HIS92_RS10670	NZ_CP051858.1	2065207	2065560	-	354	160	138	170	120	162	133	168	117	180	110	133	177	144	158	119	140	104	136
HIS92_RS10675	NZ_CP051858.1	2065666	2065851	-	186	6	7	24	9	10	12	6	9	6	15	11	15	12	4	12	10	6	6
HIS92_RS10680	NZ_CP051858.1	2066242	2067018	-	777	49	54	91	54	94	58	124	91	62	54	74	63	95	77	70	73	54	45
HIS92_RS10685	NZ_CP051858.1	2067498	2067566	-	69	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1
HIS92_RS10690	NZ_CP051858.1	2067998	2068561	+	564	8	13	13	12	6	9	20	13	5	15	10	9	16	11	11	12	11	4
HIS92_RS10695	NZ_CP051858.1	2068667	2069020	-	354	120	214	169	208	246	243	289	162	164	152	143	132	217	170	221	237	167	205
HIS92_RS10700	NZ_CP051858.1	2069062	2069928	-	867	105	234	272	167	309	318	293	218	104	196	132	198	304	180	195	227	201	161
HIS92_RS10705	NZ_CP051858.1	2070167	2070406	-	240	33	26	32	11	21	25	35	21	30	15	28	27	31	13	24	20	23	12
HIS92_RS10710	NZ_CP051858.1	2070759	2071829	+	1071	124	127	181	162	171	119	254	131	148	146	124	89	189	107	157	150	83	83
HIS92_RS10715	NZ_CP051858.1	2072063	2072236	+	174	0	5	1	1	1	1	4	1	4	1	3	0	3	0	5	0	0	2
HIS92_RS10720	NZ_CP051858.1	2072291	2072950	+	660	16	42	45	42	55	48	47	46	17	55	20	47	48	36	48	33	22	46
HIS92_RS10725	NZ_CP051858.1	2072934	2073731	+	798	30	35	26	47	43	48	55	54	18	38	27	58	54	41	52	55	25	58
HIS92_RS10730	NZ_CP051858.1	2073953	2074294	-	342	298	304	343	227	402	291	418	226	243	244	234	192	379	244	238	269	184	163
HIS92_RS10735	NZ_CP051858.1	2074806	2075603	-	798	128	237	136	172	135	169	151	178	134	110	114	311	143	219	130	217	78	130
HIS92_RS10740	NZ_CP051858.1	2075903	2077561	-	1659	77	58	118	65	102	107	136	59	65	82	51	100	93	46	87	60	58	41
HIS92_RS10745	NZ_CP051858.1	2077648	2078118	+	471	4	4	15	8	12	10	12	9	6	4	16	9	17	14	7	6	4	5
HIS92_RS10750	NZ_CP051858.1	2078105	2078743	+	639	6	12	14	8	4	12	10	0	5	2	3	18	6	2	7	12	5	10
HIS92_RS10755	NZ_CP051858.1	2078781	2079449	-	669	20	24	49	34	42	49	45	31	34	30	31	40	43	27	43	32	24	25
HIS92_RS10760	NZ_CP051858.1	2079665	2080939	-	1275	2210	1462	2029	1144	1756	1215	2014	1804	2783	1840	1759	1652	1864	1568	1375	2060	1093	1549
HIS92_RS10765	NZ_CP051858.1	2081213	2082007	-	795	4	5	11	6	5	5	8	8	12	14	5	4	5	10	4	5	0	3
HIS92_RS10770	NZ_CP051858.1	2082060	2082368	-	309	39	21	61	16	38	32	34	35	37	17	20	40	55	29	25	36	33	33
HIS92_RS10775	NZ_CP051858.1	2082564	2082800	+	237	6137	5532	4475	4104	4373	4117	4369	3516	5720	3209	3869	3585	4483	3837	3418	5935	4157	4753
HIS92_RS10780	NZ_CP051858.1	2083365	2083580	+	216	19	30	34	32	37	21	54	19	22	21	24	31	33	14	26	33	23	8
HIS92_RS10785	NZ_CP051858.1	2083640	2084641	-	1002	359	955	458	320	369	433	266	641	283	492	248	753	249	714	158	687	329	1070
HIS92_RS10790	NZ_CP051858.1	2084762	2085253	+	492	141	308	220	238	314	267	364	193	153	191	167	184	285	146	290	189	207	161
HIS92_RS10795	NZ_CP051858.1	2085277	2085756	-	480	1	5	21	6	11	4	10	10	6	6	10	9	7	6	18	2	5	5
HIS92_RS10800	NZ_CP051858.1	2085918	2087021	+	1104	6	8	7	13	15	12	21	8	6	10	7	6	18	8	13	6	7	6
HIS92_RS10805	NZ_CP051858.1	2086966	2088312	+	1347	6	18	11	19	10	13	9	10	8	15	8	13	5	18	19	8	12	15
HIS92_RS10810	NZ_CP051858.1	2088318	2089430	+	1113	4	13	9	11	11	3	4	11	3	13	2	9	15	5	16	8	2	14
HIS92_RS10815	NZ_CP051858.1	2089427	2090242	+	816	1	7	5	6	1	6	3	3	0	5	4	8	1	6	4	4	0	3
HIS92_RS10820	NZ_CP051858.1	2090795	2091376	+	582	10	11	29	13	21	19	40	18	28	17	21	17	33	14	34	18	36	31
HIS92_RS10825	NZ_CP051858.1	2091416	2092180	-	765	554	620	517	523	617	593	766	470	513	416	414	391	657	382	505	556	420	379
HIS92_RS10830	NZ_CP051858.1	2092290	2092922	-	633	160	217	206	142	237	245	279	148	178	181	168	156	239	146	156	186	127	112
HIS92_RS10835	NZ_CP051858.1	2093003	2093443	-	441	154	259	259	302	353	377	371	264	236	223	254	143	353	231	323	233	201	172
HIS92_RS10840	NZ_CP051858.1	2093591	2094562	+	972	658	1725	1313	1461	1693	1840	1983	1293	935	1189	974	1246	1719	1077	1425	1418	1059	1008
HIS92_RS10845	NZ_CP051858.1	2094579	2094845	+	267	89	143	150	215	200	186	266	136	133	136	136	118	196	99	261	144	137	117
HIS92_RS10850	NZ_CP051858.1	2095219	2095716	+	498	15	1	5	9	5	4	8	4	3	9	3	4	5	5	5	7	3	2
HIS92_RS10855	NZ_CP051858.1	2095762	2096070	-	309	180	139	179	104	165	160	192	106	218	121	137	76	172	101	123	172	119	108
HIS92_RS10860	NZ_CP051858.1	2096189	2096767	+	579	0	2	2	0	2	2	0	1	0	0	0	0	0	0	2	1	0	0
HIS92_RS10865	NZ_CP051858.1	2096795	2097529	-	735	3	14	21	5	7	18	14	2	3	7	9	21	15	7	13	8	6	9
HIS92_RS10870	NZ_CP051858.1	2097630	2098445	+	816	159	268	221	307	245	241	238	318	211	266	161	351	257	252	228	391	204	424
HIS92_RS10875	NZ_CP051858.1	2098470	2098904	-	435	4	2	4	0	7	1	2	2	1	3	1	4	3	1	2	1	4	2
HIS92_RS10880	NZ_CP051858.1	2099047	2099601	+	555	4	46	22	103	33	69	33	61	7	35	12	36	33	32	42	41	25	28
HIS92_RS10885	NZ_CP051858.1	2099676	2100155	+	480	14	118	42	97	47	90	42	35	25	34	24	78	56	89	38	77	41	46
HIS92_RS10890	NZ_CP051858.1	2100176	2101072	-	897	1507	2877	2568	2636	3238	3034	3448	2141	1955	2146	1959	2015	3105	1775	2910	2659	2586	2391
HIS92_RS10895	NZ_CP051858.1	2101262	2102245	+	984	21	27	28	33	40	26	42	24	35	24	23	18	36	18	26	32	38	21
HIS92_RS10900	NZ_CP051858.1	2102318	2103049	-	732	6	7	4	4	9	0	11	2	3	5	3	0	4	8	16	8	7	4
HIS92_RS10905	NZ_CP051858.1	2103104	2103406	-	303	26	29	38	36	39	28	74	43	52	26	37	28	56	24	60	46	64	34
HIS92_RS10910	NZ_CP051858.1	2103472	2104863	-	1392	86	104	156	92	204	148	243	93	132	116	119	117	190	91	192	170	169	116
HIS92_RS10915	NZ_CP051858.1	2105660	2107057	-	1398	6254	13556	10584	12335	14512	12140	14824	8542	6838	9645	8111	7238	14602	6395	13112	10408	10425	9434
HIS92_RS10920	NZ_CP051858.1	2107106	2107537	-	432	1013	2465	2101	2419	3035	2538	3536	1779	1315	1849	1789	1219	2986	1189	2842	1782	2227	1708
HIS92_RS10925	NZ_CP051858.1	2107527	2108747	-	1221	2629	6899	5673	7230	8100	6920	8881	4709	3350	5381	4823	3802	8364	3335	7845	4869	6200	4769
HIS92_RS10930	NZ_CP051858.1	2108747	2110039	-	1293	3420	8029	7386	8019	9383	8251	10660	5763	4512	6421	5760	4173	9756	3923	9514	6226	7354	5502
HIS92_RS10935	NZ_CP051858.1	2110055	2110840	-	786	1326	3065	3088	3274	3721	3210	4191	2667	2177	2957	2440	2141	4063	1748	3929	2718	2934	2529
HIS92_RS10940	NZ_CP051858.1	2111079	2111885	-	807	31	38	53	45	51	35	49	46	71	39	46	51	52	41	34	48	29	45
HIS92_RS10945	NZ_CP051858.1	2111957	2112769	-	813	74	57	100	111	95	86	112	87	110	93	64	121	103	75	54	92	83	81
HIS92_RS10950	NZ_CP051858.1	2112793	2113458	-	666	47	41	55	48	75	52	79	43	116	63	51	45	67	57	41	54	62	55
HIS92_RS10955	NZ_CP051858.1	2113451	2114476	-	1026	79	90	145	59	113	87	125	111	185	106	116	115	141	92	92	77	93	74
HIS92_RS10960	NZ_CP051858.1	2114890	2115234	-	345	30	42	41	40	45	35	56	33	30	26	26	34	41	24	45	34	27	22
HIS92_RS10965	NZ_CP051858.1	2115387	2115695	-	309	34	56	52	61	82	81	83	56	42	58	34	54	65	55	50	48	47	51
HIS92_RS10970	NZ_CP051858.1	2115699	2116043	-	345	11	20	17	22	16	22	18	6	19	13	16	17	27	35	28	19	18	24
HIS92_RS10975	NZ_CP051858.1	2116774	2117157	-	384	11027	6629	6481	4941	5004	4711	5552	5272	12864	4761	6464	4469	5028	5138	4089	11999	5564	8128
HIS92_RS10980	NZ_CP051858.1	2117199	2117564	-	366	3060	2198	2404	1561	2034	1823	2128	1757	3328	1816	2026	1908	2091	1842	1438	2950	1614	1956
HIS92_RS10985	NZ_CP051858.1	2117976	2118503	-	528	6	5	6	2	4	20	4	4	11	7	4	25	8	13	8	9	0	4
HIS92_RS10990	NZ_CP051858.1	2118648	2119295	+	648	28	33	43	62	58	55	79	74	59	57	50	49	59	42	76	67	46	69
HIS92_RS10995	NZ_CP051858.1	2119355	2120368	-	1014	11	41	22	48	24	36	27	34	13	16	13	83	21	35	26	43	6	9
HIS92_RS11000	NZ_CP051858.1	2120391	2121560	-	1170	3	27	19	81	25	92	22	57	12	10	8	88	25	63	19	32	4	8
HIS92_RS11005	NZ_CP051858.1	2121587	2121835	-	249	0	6	5	0	2	1	5	2	2	0	2	1	3	0	0	3	1	0
HIS92_RS11010	NZ_CP051858.1	2121849	2122034	-	186	0	0	0	1	2	0	1	0	0	0	1	0	1	0	3	0	0	0
HIS92_RS11015	NZ_CP051858.1	2122148	2122867	-	720	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
HIS92_RS11020	NZ_CP051858.1	2122983	2124767	-	1785	36	44	28	37	24	46	35	27	36	24	27	14	29	26	27	21	25	9
HIS92_RS11025	NZ_CP051858.1	2125156	2126328	-	1173	9	22	18	24	14	20	16	7	15	12	15	26	21	16	3	11	10	11
HIS92_RS11030	NZ_CP051858.1	2126350	2128731	-	2382	54	103	58	59	38	53	36	34	39	38	40	57	39	61	20	42	28	22
HIS92_RS11035	NZ_CP051858.1	2128969	2129115	+	147	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS11040	NZ_CP051858.1	2129213	2130052	+	840	170	163	157	177	189	190	202	231	180	191	124	206	175	161	165	223	111	188
HIS92_RS11045	NZ_CP051858.1	2130075	2130992	-	918	101	146	97	46	69	61	101	49	84	51	75	44	87	41	64	35	42	28
HIS92_RS11050	NZ_CP051858.1	2131301	2131546	-	246	31	39	37	22	41	18	55	26	28	18	35	27	36	23	42	38	49	39
HIS92_RS11055	NZ_CP051858.1	2131595	2131897	-	303	230	131	179	155	215	172	288	136	256	111	186	80	236	114	270	229	271	268
HIS92_RS11060	NZ_CP051858.1	2131975	2133975	-	2001	621	151	947	118	841	159	906	228	889	332	641	180	816	201	552	317	682	298
HIS92_RS11065	NZ_CP051858.1	2134162	2134920	+	759	61	80	71	115	103	107	123	60	56	70	73	58	104	52	93	68	44	51
HIS92_RS11070	NZ_CP051858.1	2134948	2135130	-	183	6	2	1	7	3	8	5	6	10	11	2	4	0	4	3	6	2	0
HIS92_RS11075	NZ_CP051858.1	2135210	2136394	-	1185	170	120	218	145	232	127	200	192	298	192	210	158	207	185	187	259	159	218
HIS92_RS11080	NZ_CP051858.1	2136502	2137812	-	1311	396	288	394	321	401	252	364	345	496	368	349	413	368	442	268	453	267	376
HIS92_RS11085	NZ_CP051858.1	2138281	2138508	+	228	3	9	4	2	7	11	7	13	10	3	9	8	2	12	5	5	1	3
HIS92_RS11090	NZ_CP051858.1	2138586	2139401	-	816	6	3	10	9	9	9	8	11	8	7	7	9	3	8	6	9	8	9
HIS92_RS11095	NZ_CP051858.1	2139531	2140307	-	777	308	316	342	338	393	313	433	389	424	352	284	360	378	338	314	398	326	277
HIS92_RS11100	NZ_CP051858.1	2140336	2140620	-	285	80	64	93	83	104	87	107	95	131	98	123	60	89	79	91	143	76	96
HIS92_RS11105	NZ_CP051858.1	2140898	2141791	+	894	719	652	899	902	1031	866	964	1029	960	925	733	863	861	663	842	979	753	710
HIS92_RS11110	NZ_CP051858.1	2141902	2142423	-	522	21	32	13	26	23	27	23	8	21	18	24	15	22	21	23	24	11	14
HIS92_RS11115	NZ_CP051858.1	2142884	2143270	+	387	286	436	200	240	194	170	207	208	213	223	93	148	147	189	156	167	146	191
HIS92_RS11120	NZ_CP051858.1	2143518	2143658	-	141	93	58	77	35	33	49	42	38	117	36	64	59	35	68	11	87	34	47
HIS92_RS11125	NZ_CP051858.1	2143755	2144807	-	1053	150	201	213	164	220	173	240	256	221	216	174	247	162	208	198	281	176	280
HIS92_RS11130	NZ_CP051858.1	2144850	2145557	-	708	57	70	93	61	83	83	91	106	84	86	62	118	79	77	56	116	60	99
HIS92_RS11135	NZ_CP051858.1	2145547	2145768	-	222	4	0	1	0	3	0	3	2	1	0	0	1	3	0	1	1	1	0
HIS92_RS11140	NZ_CP051858.1	2145999	2146613	-	615	671	609	445	390	404	370	469	402	753	388	434	474	441	562	335	842	411	637
HIS92_RS11145	NZ_CP051858.1	2147014	2147457	+	444	20	15	61	15	64	15	65	15	93	18	67	3	56	13	72	26	38	26
HIS92_RS11150	NZ_CP051858.1	2147488	2147949	+	462	61	19	79	52	106	28	108	36	146	26	73	23	88	31	94	47	59	36
HIS92_RS11155	NZ_CP051858.1	2148314	2148979	+	666	806	691	995	586	995	642	1201	780	1241	738	930	688	1025	693	849	1062	826	984
HIS92_RS11160	NZ_CP051858.1	2148957	2150399	+	1443	590	506	699	612	874	548	1073	643	769	553	662	475	967	468	1073	672	701	756
HIS92_RS11165	NZ_CP051858.1	2150541	2151443	+	903	111	141	88	108	100	119	113	125	110	115	91	127	123	97	108	154	76	169
HIS92_RS11170	NZ_CP051858.1	2151662	2151916	+	255	56	35	46	14	38	18	34	19	57	30	29	28	14	37	44	51	31	40
HIS92_RS11175	NZ_CP051858.1	2151958	2153592	-	1635	10	12	32	8	26	18	22	5	18	15	16	13	26	14	26	11	19	10
HIS92_RS11180	NZ_CP051858.1	2154029	2154847	+	819	0	2	4	2	4	1	8	4	2	4	6	8	2	3	5	11	3	4
HIS92_RS11185	NZ_CP051858.1	2155261	2156955	+	1695	171	134	323	184	491	164	522	233	351	139	230	221	426	154	465	188	258	126
HIS92_RS11190	NZ_CP051858.1	2157169	2158860	+	1692	1195	550	1807	791	1898	773	2061	1371	2125	1327	1503	1068	1807	960	1658	1216	1245	1296
HIS92_RS11195	NZ_CP051858.1	2158981	2159298	+	318	511	811	584	640	561	598	604	365	579	451	395	525	560	414	518	722	544	611
HIS92_RS11200	NZ_CP051858.1	2159569	2160725	+	1157	24	37	18	22	30	22	35	22	12	17	11	19	28	28	21	23	24	33
HIS92_RS11205	NZ_CP051858.1	2160785	2162434	-	1650	11	20	19	21	29	21	28	13	16	23	14	18	32	18	16	35	10	16
HIS92_RS11210	NZ_CP051858.1	2162591	2163289	-	699	201	90	134	91	126	77	139	104	199	69	128	73	122	111	93	142	120	103
HIS92_RS11215	NZ_CP051858.1	2163341	2163751	-	411	29	24	34	52	38	50	30	30	49	21	39	18	36	27	29	29	13	28
HIS92_RS11220	NZ_CP051858.1	2163863	2164297	-	435	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
HIS92_RS11225	NZ_CP051858.1	2164435	2165028	-	594	10	23	17	8	19	6	14	21	7	6	17	16	14	20	10	16	12	12
HIS92_RS11230	NZ_CP051858.1	2165107	2166306	-	1200	39	139	38	75	37	51	38	59	45	33	33	79	41	72	17	67	18	51
HIS92_RS11235	NZ_CP051858.1	2166311	2166805	-	495	43	47	12	15	14	13	15	19	5	4	13	20	12	15	7	15	12	14
HIS92_RS11240	NZ_CP051858.1	2167215	2168648	+	1434	965	1729	940	1610	1155	1309	1199	1705	1350	1450	974	1911	1048	1510	976	2002	915	1918
HIS92_RS11245	NZ_CP051858.1	2168984	2169424	+	441	152	167	181	239	235	238	302	183	167	200	148	203	211	154	260	215	152	161
HIS92_RS11250	NZ_CP051858.1	2169897	2170094	+	198	3	3	8	18	7	12	22	9	7	5	6	10	6	11	13	9	5	10
HIS92_RS11255	NZ_CP051858.1	2170110	2170391	-	282	25	27	30	31	19	34	26	11	16	19	19	27	17	28	19	29	8	8
HIS92_RS11260	NZ_CP051858.1	2170496	2171059	-	564	39	27	35	17	45	28	41	28	33	27	32	18	68	33	21	43	21	38
HIS92_RS11265	NZ_CP051858.1	2171148	2171471	+	324	17	33	27	20	22	20	20	11	8	15	17	30	23	11	15	20	13	27
HIS92_RS11270	NZ_CP051858.1	2171525	2172031	+	507	286	344	284	351	357	296	388	210	385	225	218	227	313	170	326	288	210	225
HIS92_RS11275	NZ_CP051858.1	2172180	2173349	+	1170	48	56	103	73	132	57	150	68	120	88	93	86	135	40	144	76	122	81
HIS92_RS11280	NZ_CP051858.1	2173393	2174574	-	1182	1492	694	2481	1707	2261	1962	2757	2661	2935	2126	2120	1609	2579	2238	2109	2965	1743	2099
HIS92_RS11285	NZ_CP051858.1	2175081	2176262	-	1182	1028	672	747	494	718	496	727	729	980	670	697	584	732	585	527	776	403	651
HIS92_RS11290	NZ_CP051858.1	2176593	2178035	-	1443	2773	3193	3630	2417	3079	2497	2924	2805	2437	2746	2762	3054	3430	2802	1878	3523	1801	3061
HIS92_RS11295	NZ_CP051858.1	2178372	2179802	-	1431	475	340	564	336	457	339	504	445	561	420	492	403	478	372	283	478	372	422
HIS92_RS11300	NZ_CP051858.1	2180103	2180741	+	639	3	1	8	5	10	8	10	4	10	5	4	3	7	3	3	7	4	7
HIS92_RS11305	NZ_CP051858.1	2180785	2185215	-	4431	113	490	231	464	275	566	285	421	136	334	170	401	277	369	235	396	114	223
HIS92_RS11310	NZ_CP051858.1	2185773	2186696	-	924	3	3	1	1	2	1	0	1	1	2	3	5	3	3	2	3	2	0
HIS92_RS11315	NZ_CP051858.1	2186810	2187649	-	840	158	211	235	269	247	297	295	153	126	137	151	170	286	152	207	175	171	114
HIS92_RS11320	NZ_CP051858.1	2187666	2188829	-	1164	254	322	343	451	408	399	403	229	192	200	303	296	429	228	290	246	255	191
HIS92_RS11325	NZ_CP051858.1	2189203	2189547	+	345	85	75	110	61	111	81	107	78	54	42	59	72	105	54	81	74	79	62
HIS92_RS11330	NZ_CP051858.1	2189981	2190421	+	441	2023	3814	3701	4449	4794	4427	5748	3489	2865	3530	3136	2983	5126	2730	5140	4030	3380	3554
HIS92_RS11335	NZ_CP051858.1	2190466	2191644	+	1179	5111	10767	9194	10262	12087	11047	12782	7829	5780	7754	6968	6409	12277	6012	11357	9160	8404	8217
HIS92_RS11340	NZ_CP051858.1	2191987	2193249	-	1263	328	272	502	320	502	408	593	271	430	314	352	326	502	238	420	386	412	272
HIS92_RS11345	NZ_CP051858.1	2193618	2194535	-	918	677	607	807	547	765	689	975	657	877	609	597	531	798	479	689	798	604	522
HIS92_RS11350	NZ_CP051858.1	2194919	2195314	-	396	706	536	521	428	554	506	557	355	989	369	529	313	545	387	519	654	477	409
HIS92_RS11355	NZ_CP051858.1	2195511	2197013	-	1503	893	201	918	140	922	197	1084	223	1008	301	731	234	957	239	697	322	743	323
HIS92_RS11360	NZ_CP051858.1	2197046	2198104	-	1059	707	181	737	155	824	170	824	234	830	243	566	213	788	183	638	251	581	250
HIS92_RS11365	NZ_CP051858.1	2198449	2198853	+	405	9	4	6	7	5	1	8	6	10	8	4	6	5	2	5	12	1	17
HIS92_RS11370	NZ_CP051858.1	2198850	2199206	+	357	5	2	5	2	6	4	10	3	5	3	3	3	6	2	1	7	3	11
HIS92_RS11375	NZ_CP051858.1	2199237	2199476	-	240	117	35	85	41	63	44	70	33	150	40	86	30	37	33	42	70	55	55
HIS92_RS11380	NZ_CP051858.1	2199556	2199789	-	234	60	17	46	11	24	17	14	23	59	15	28	10	21	16	16	28	18	38
HIS92_RS11385	NZ_CP051858.1	2199949	2201142	-	1194	4	12	8	9	3	9	12	2	11	6	5	5	6	8	5	5	3	4
HIS92_RS11390	NZ_CP051858.1	2201148	2202695	-	1548	2	7	9	7	8	4	14	6	8	12	6	8	11	11	15	10	4	5
HIS92_RS11395	NZ_CP051858.1	2203132	2203647	-	516	422	280	275	172	251	158	253	181	371	182	208	157	235	195	142	286	121	170
HIS92_RS11400	NZ_CP051858.1	2203933	2204409	+	477	0	3	0	0	2	0	2	1	0	0	1	3	5	0	2	3	0	0
HIS92_RS11405	NZ_CP051858.1	2204458	2204862	-	405	164	72	144	78	98	90	143	95	177	94	116	69	119	81	90	135	94	105
HIS92_RS11410	NZ_CP051858.1	2204912	2205868	-	957	4	4	5	5	2	4	8	3	4	0	3	9	6	5	4	6	2	7
HIS92_RS11415	NZ_CP051858.1	2206347	2206904	+	558	2	3	8	1	7	3	6	1	3	5	3	2	1	2	4	11	2	5
HIS92_RS11420	NZ_CP051858.1	2206941	2207375	-	435	3	1	0	1	4	0	0	0	1	1	2	2	4	2	4	0	3	0
HIS92_RS11425	NZ_CP051858.1	2207732	2208697	+	966	4	1	1	1	1	0	1	3	1	4	4	7	0	3	5	3	1	1
HIS92_RS11430	NZ_CP051858.1	2208961	2209392	-	432	56	48	86	53	66	49	55	41	49	33	57	50	67	27	46	47	39	34
HIS92_RS11435	NZ_CP051858.1	2209560	2210141	+	582	7	3	6	6	6	8	8	5	2	4	8	6	9	4	3	2	1	6
HIS92_RS11440	NZ_CP051858.1	2210197	2210646	+	450	2	1	2	0	2	1	8	2	4	1	2	3	0	1	4	0	0	2
HIS92_RS11445	NZ_CP051858.1	2210774	2212054	+	1281	2	11	16	10	16	11	12	9	10	14	11	14	20	7	10	4	15	2
HIS92_RS11450	NZ_CP051858.1	2212089	2213627	-	1539	109	9	175	27	275	28	385	75	618	94	140	24	177	29	335	52	263	63
HIS92_RS11455	NZ_CP051858.1	2214062	2214814	-	753	1048	2249	845	1441	797	1247	844	1156	1187	1244	840	1896	823	1320	567	1602	795	1634
HIS92_RS11460	NZ_CP051858.1	2214811	2215875	-	1065	574	1605	540	1291	609	905	619	919	627	1071	473	1495	690	910	500	1095	386	1331
