Geneid	Chr	Start	End	Strand	Length	B1-t0-1	B2-t0-2	B3-t0-3	G1-t0-1	G2-t0-2	G3-t0-3	B1M-t0-1	B2M-t0-2	B3M-t0-3	G1M-t0-1	G2M-t0-2	G3M-t0-3
HIS92_RS14095	NZ_CP051858.1	2756523	2757353	+	831	46420	42717	55391	60869	51813	65222	58505	71419	86322	50414	67195	49536
HIS92_RS14100	NZ_CP051858.1	2757414	2757692	+	279	9171	8518	10845	14043	11813	15818	14628	19373	22621	11834	16853	13139
HIS92_RS14105	NZ_CP051858.1	2757710	2758051	+	342	8075	5737	8883	10941	8045	11432	7159	9222	15090	7199	12370	9671
HIS92_RS14110	NZ_CP051858.1	2758055	2758714	+	660	15478	11975	18215	23340	18270	26656	25409	27781	34144	16214	27808	21874
HIS92_RS14115	NZ_CP051858.1	2758716	2759150	+	435	9173	7431	10321	13989	11252	15291	17782	20212	21306	9988	17364	13483
HIS92_RS14120	NZ_CP051858.1	2759140	2759340	+	201	4836	4566	5101	7399	6136	7959	11230	10882	11729	6331	9709	7197
HIS92_RS14125	NZ_CP051858.1	2759361	2759624	+	264	9382	8101	10585	14276	10910	14478	22451	20986	22992	11613	18546	13512
HIS92_RS14130	NZ_CP051858.1	2759668	2760036	+	369	11735	10149	12700	17558	15027	19318	26818	27295	28663	15697	23150	16881
HIS92_RS14135	NZ_CP051858.1	2760075	2760386	+	312	7861	6865	8414	11635	9930	12635	19810	18333	18559	10136	15372	11524
HIS92_RS14140	NZ_CP051858.1	2760413	2760952	+	540	18571	16749	19452	27581	22414	29237	40369	42933	44393	23782	36268	27471
HIS92_RS14145	NZ_CP051858.1	2760986	2761171	+	186	7952	5790	8229	10678	7889	10481	11617	15011	15426	7465	13122	10555
HIS92_RS14150	NZ_CP051858.1	2761201	2761599	+	399	11910	11242	11756	17147	15055	18507	27145	28796	28214	16313	23133	17070
HIS92_RS14155	NZ_CP051858.1	2761632	2762171	+	540	17994	13549	18456	24756	17557	24323	36233	34972	35647	18107	31626	24420
HIS92_RS14160	NZ_CP051858.1	2762205	2762567	+	363	8723	7156	9063	13243	10634	14091	23568	21537	20434	10098	18026	13535
HIS92_RS14165	NZ_CP051858.1	2762589	2763089	+	501	20734	16549	20879	27107	21679	29973	41109	42690	40818	21949	35692	27241
HIS92_RS14170	NZ_CP051858.1	2763103	2763285	+	183	6453	5879	6383	8396	7440	9056	15872	13610	13688	8467	11398	8599
HIS92_RS14175	NZ_CP051858.1	2763319	2763759	+	441	14794	12652	14900	19567	16652	22004	21458	25111	29898	17845	25298	19705
HIS92_RS14180	NZ_CP051858.1	2763759	2765060	+	1302	43456	35658	44716	55513	44007	57654	73161	80749	84004	48745	72766	56492
HIS92_RS14185	NZ_CP051858.1	2765115	2765765	+	651	15634	12408	16911	21860	17078	23430	29150	33187	31511	18102	27804	22368
HIS92_RS14190	NZ_CP051858.1	2765765	2766511	+	747	22535	18518	23747	29817	24090	31893	39894	44111	43772	26809	37731	29739
HIS92_RS14195	NZ_CP051858.1	2766580	2766798	+	219	5787	5928	5648	7485	7438	9099	12103	11419	12776	8390	10072	7634
HIS92_RS14200	NZ_CP051858.1	2766834	2766947	+	114	3210	3565	3993	4911	4593	5127	5286	5849	6884	5156	6324	4626
HIS92_RS14205	NZ_CP051858.1	2766969	2767334	+	366	15361	15238	16767	20368	19657	24678	31583	29608	30324	21715	25410	19725
HIS92_RS14210	NZ_CP051858.1	2767359	2767748	+	390	13622	11385	15930	17669	15790	21088	21028	20730	23233	15737	21150	16776
HIS92_RS14215	NZ_CP051858.1	2767929	2768873	+	945	40763	32899	47369	50687	43556	56511	64290	69991	69085	48915	62469	47882
HIS92_RS14220	NZ_CP051858.1	2768909	2769271	+	363	11257	10151	13094	15520	13614	16560	12981	17551	19916	13976	18908	14920
HIS92_RS14225	NZ_CP051858.1	2769375	2770217	+	843	159	241	365	455	408	617	405	761	902	596	781	760
HIS92_RS14230	NZ_CP051858.1	2770193	2771074	+	882	138	177	270	361	339	477	287	502	658	462	552	558
HIS92_RS14235	NZ_CP051858.1	2771062	2771856	+	795	151	215	403	315	272	500	274	371	577	363	545	487
HIS92_RS14240	NZ_CP051858.1	2771871	2772614	+	744	257	320	520	489	425	621	243	381	654	499	563	511
HIS92_RS14245	NZ_CP051858.1	2772767	2773204	+	438	33053	26118	52608	36396	30062	37206	9078	21654	31069	23326	26994	20731
HIS92_RS14250	NZ_CP051858.1	2773226	2773618	+	393	13541	12017	21573	20354	15586	21454	13546	13755	18070	12955	15684	12262
HIS92_RS14255	NZ_CP051858.1	2773780	2774208	+	429	2	2	4	5	2	4	4	8	2	2	2	2
HIS92_RS14260	NZ_CP051858.1	2774275	2774988	+	714	13	3	13	12	22	12	21	7	23	4	11	6
HIS92_RS14265	NZ_CP051858.1	2775133	2776200	+	1068	2445	1506	1559	2075	1922	2062	3558	3291	2688	2055	2234	1542
HIS92_RS14270	NZ_CP051858.1	2776369	2776986	-	618	1	5	4	6	3	5	14	5	7	7	10	6
HIS92_RS14275	NZ_CP051858.1	2777126	2777737	+	612	115	93	108	146	158	186	511	448	404	306	321	245
HIS92_RS14280	NZ_CP051858.1	2777857	2778621	-	765	16	9	18	10	12	9	21	24	23	12	27	13
HIS92_RS14285	NZ_CP051858.1	2778792	2779010	+	219	0	2	4	4	3	4	9	0	1	7	1	3
HIS92_RS14290	NZ_CP051858.1	2779236	2780787	+	1552	125	7924	4780	1347	127	149	1191	110	139	193	114	91
HIS92_RS14295	NZ_CP051858.1	2780934	2783855	+	2922	376	26713	15067	4597	704	1938	6625	875	2443	1986	424	491
HIS92_RS14300	NZ_CP051858.1	2783946	2784061	+	116	0	7	0	2	0	1	3	0	1	0	1	0
HIS92_RS14305	NZ_CP051858.1	2784071	2784145	+	75	1	0	0	0	0	0	0	0	0	0	0	1
HIS92_RS14310	NZ_CP051858.1	2784150	2784222	+	73	125	70	161	111	93	99	21	32	67	40	41	40
HIS92_RS14315	NZ_CP051858.1	2784244	2784318	+	75	141	141	211	172	161	153	20	72	94	77	48	51
HIS92_RS14320	NZ_CP051858.1	2784324	2784399	+	76	23	33	50	38	44	50	15	17	34	14	18	19
HIS92_RS14325	NZ_CP051858.1	2784416	2784499	+	84	97	35	216	62	35	60	34	28	42	28	31	29
HIS92_RS14330	NZ_CP051858.1	2784565	2784639	+	75	54	30	206	76	37	63	8	18	24	30	25	24
HIS92_RS14335	NZ_CP051858.1	2784645	2784720	+	76	13	9	58	20	12	10	4	3	5	9	5	4
HIS92_RS14340	NZ_CP051858.1	2784726	2784797	+	72	9	11	39	30	13	22	1	4	4	6	1	8
HIS92_RS14345	NZ_CP051858.1	2784808	2784880	+	73	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS14350	NZ_CP051858.1	2784998	2786143	+	1146	2	0	0	2	1	4	8	1	1	2	1	1
HIS92_RS14355	NZ_CP051858.1	2786354	2787247	+	894	72	42	23	76	81	91	461	180	102	203	115	95
HIS92_RS14360	NZ_CP051858.1	2787496	2788317	+	822	878	764	1342	1133	1139	1626	741	684	1055	708	694	635
HIS92_RS14365	NZ_CP051858.1	2788310	2789797	+	1488	2902	2345	3855	3278	3146	4297	1467	2100	3156	1925	2296	1735
HIS92_RS14370	NZ_CP051858.1	2789790	2791136	+	1347	5758	4655	8537	6366	5977	8028	3833	4531	5951	4218	4488	3267
HIS92_RS14375	NZ_CP051858.1	2791425	2791610	+	186	420	227	1279	732	504	919	77	131	208	150	132	96
HIS92_RS14380	NZ_CP051858.1	2791623	2793425	+	1803	4706	2086	18957	9326	6106	13219	931	990	3628	1649	2238	1485
HIS92_RS14385	NZ_CP051858.1	2793686	2795650	+	1965	40	25	30	31	22	36	24	18	40	24	29	24
HIS92_RS14390	NZ_CP051858.1	2795758	2796324	+	567	557	487	722	453	497	601	346	471	506	434	414	308
HIS92_RS14395	NZ_CP051858.1	2796397	2796903	-	507	813	812	361	1017	1484	714	841	1092	557	560	937	229
HIS92_RS14400	NZ_CP051858.1	2797297	2798073	+	777	53	32	43	60	38	39	54	58	81	65	43	52
HIS92_RS14405	NZ_CP051858.1	2798114	2798782	-	669	6	2	10	3	9	0	1	7	9	6	13	5
HIS92_RS14410	NZ_CP051858.1	2798757	2799797	-	1041	1	1	2	7	9	5	12	6	10	8	9	8
HIS92_RS14415	NZ_CP051858.1	2799810	2800622	-	813	1	5	4	13	13	10	11	4	2	1	2	4
HIS92_RS14420	NZ_CP051858.1	2800902	2801810	-	909	1	3	2	3	1	4	6	0	3	0	3	1
HIS92_RS14425	NZ_CP051858.1	2801967	2802731	+	765	92	61	95	91	85	116	179	61	85	45	38	34
HIS92_RS14430	NZ_CP051858.1	2802798	2804234	+	1437	42	26	98	50	29	53	50	39	55	35	44	27
HIS92_RS14435	NZ_CP051858.1	2804231	2804764	+	534	26	32	36	19	32	39	38	18	35	25	28	12
HIS92_RS14440	NZ_CP051858.1	2804842	2806560	+	1719	332	281	457	522	489	600	201	258	337	309	286	274
HIS92_RS14445	NZ_CP051858.1	2806687	2807937	+	1251	64	45	88	59	54	75	74	78	85	36	67	30
HIS92_RS14450	NZ_CP051858.1	2807971	2808417	-	447	35	47	62	41	36	35	14	10	20	11	25	17
HIS92_RS14455	NZ_CP051858.1	2808692	2809195	+	504	109	61	133	108	128	128	159	77	143	89	80	54
HIS92_RS14460	NZ_CP051858.1	2809212	2809427	-	216	0	0	0	0	0	0	1	2	0	3	0	3
HIS92_RS14465	NZ_CP051858.1	2809839	2810756	+	918	3	8	1	4	1	1	2	8	2	5	1	0
HIS92_RS14470	NZ_CP051858.1	2810774	2811778	+	1005	4	2	0	1	2	1	4	7	3	3	1	0
HIS92_RS14475	NZ_CP051858.1	2811735	2812745	+	1011	5	3	0	4	2	1	5	5	1	10	2	0
HIS92_RS14480	NZ_CP051858.1	2812742	2813515	+	774	7	4	0	1	4	1	5	4	5	2	0	0
HIS92_RS14485	NZ_CP051858.1	2813529	2815139	+	1611	18	9	13	13	18	20	23	15	27	17	11	9
HIS92_RS14490	NZ_CP051858.1	2815156	2815623	-	468	6	5	11	11	8	15	8	8	15	4	6	3
HIS92_RS14495	NZ_CP051858.1	2815796	2816011	+	216	2	2	2	3	7	4	2	4	3	4	3	4
HIS92_RS14500	NZ_CP051858.1	2816051	2817691	-	1641	275	224	154	213	309	178	373	787	975	622	518	713
HIS92_RS14505	NZ_CP051858.1	2818096	2819736	-	1641	1638	1422	1813	1933	1854	1642	771	1091	775	1390	1119	810
HIS92_RS14510	NZ_CP051858.1	2820126	2820959	-	834	829	527	710	514	542	628	1340	1247	1361	699	977	712
HIS92_RS14515	NZ_CP051858.1	2820961	2821764	-	804	758	367	636	425	388	513	980	987	997	450	666	590
HIS92_RS14520	NZ_CP051858.1	2822092	2822943	-	852	894	1369	2408	1571	1240	1985	306	903	1257	469	612	444
HIS92_RS14525	NZ_CP051858.1	2823243	2823917	-	675	79	48	118	98	167	150	93	152	109	90	163	62
HIS92_RS14530	NZ_CP051858.1	2823923	2824729	-	807	103	97	142	145	206	155	82	161	139	98	181	90
HIS92_RS14535	NZ_CP051858.1	2824890	2825810	+	921	370	291	475	351	322	436	261	469	377	317	363	228
HIS92_RS14540	NZ_CP051858.1	2825876	2825944	-	69	115	81	132	67	53	94	39	61	58	46	27	38
HIS92_RS14545	NZ_CP051858.1	2826382	2827248	-	867	73	61	75	60	66	57	29	44	60	31	20	41
HIS92_RS14550	NZ_CP051858.1	2827376	2828344	+	969	19	15	39	18	23	35	12	28	36	26	27	19
HIS92_RS14555	NZ_CP051858.1	2828366	2828506	+	141	2	0	8	6	0	5	2	0	0	4	0	3
HIS92_RS14560	NZ_CP051858.1	2828567	2828662	-	96	34	54	47	29	39	22	7	16	17	20	21	20
HIS92_RS14565	NZ_CP051858.1	2829000	2829605	+	606	1618	1333	1383	2081	2322	1536	1507	2113	1699	2143	1473	1158
HIS92_RS14570	NZ_CP051858.1	2829678	2829773	-	96	14	14	12	14	5	8	4	12	3	9	11	5
HIS92_RS14575	NZ_CP051858.1	2830079	2831056	+	978	57	44	53	74	101	76	333	168	196	93	72	51
HIS92_RS14580	NZ_CP051858.1	2831218	2831547	+	330	1	2	0	1	1	4	4	3	1	3	0	1
HIS92_RS14585	NZ_CP051858.1	2831666	2832502	+	837	41	48	54	31	47	76	90	41	58	46	39	10
HIS92_RS14590	NZ_CP051858.1	2832641	2832997	+	357	4	4	6	3	2	1	3	2	1	1	1	2
HIS92_RS14595	NZ_CP051858.1	2833735	2834499	+	765	85	68	57	35	44	45	73	62	25	35	23	23
HIS92_RS14600	NZ_CP051858.1	2834616	2836265	-	1650	286	174	302	444	337	459	67	93	126	152	206	108
HIS92_RS14605	NZ_CP051858.1	2836506	2837039	+	534	134	122	157	199	231	241	143	197	165	214	194	116
HIS92_RS14610	NZ_CP051858.1	2837077	2837838	-	762	23	20	21	36	21	28	1	14	3	12	13	11
HIS92_RS14615	NZ_CP051858.1	2837975	2838103	-	129	0	2	4	0	0	1	0	0	1	3	0	1
HIS92_RS14620	NZ_CP051858.1	2838732	2840663	+	1932	13	14	7	27	27	27	108	48	25	64	54	22
HIS92_RS14625	NZ_CP051858.1	2841077	2841274	-	198	0	0	2	0	1	0	2	0	0	0	0	0
HIS92_RS14630	NZ_CP051858.1	2841643	2843370	+	1728	230	214	7	154	9	11	380	312	20	232	5	5
HIS92_RS14635	NZ_CP051858.1	2843474	2844430	+	957	45	47	2	23	3	2	110	80	3	40	4	0
HIS92_RS14640	NZ_CP051858.1	2844444	2845364	+	921	28	27	1	18	1	3	78	51	6	19	1	6
HIS92_RS14645	NZ_CP051858.1	2845375	2846355	+	981	28	18	9	9	8	4	172	59	8	24	1	7
HIS92_RS14650	NZ_CP051858.1	2846352	2847317	+	966	59	38	11	18	13	7	211	96	25	49	5	6
HIS92_RS14655	NZ_CP051858.1	2847354	2848226	-	873	1312	878	1106	1033	896	1081	967	1307	1184	1084	1050	739
HIS92_RS14660	NZ_CP051858.1	2848668	2848775	+	108	409	332	387	497	501	538	211	562	584	502	497	371
HIS92_RS14665	NZ_CP051858.1	2848810	2848926	+	117	671	559	777	816	907	1022	724	1176	1277	1262	1349	936
HIS92_RS14670	NZ_CP051858.1	2848970	2849077	+	108	399	401	518	639	659	791	359	789	1070	845	1021	798
HIS92_RS14675	NZ_CP051858.1	2849121	2849231	+	111	32	48	60	101	92	85	85	128	147	110	175	81
HIS92_RS14680	NZ_CP051858.1	2849651	2850769	+	1119	6	4	8	20	23	20	43	26	23	54	42	32
HIS92_RS14685	NZ_CP051858.1	2850836	2851792	+	957	13	7	5	16	11	21	48	14	28	24	26	24
HIS92_RS14690	NZ_CP051858.1	2851758	2852930	+	1173	29	19	26	27	26	34	60	36	56	34	32	30
HIS92_RS14695	NZ_CP051858.1	2853163	2854578	+	1416	16	13	22	13	19	20	84	45	85	19	34	36
HIS92_RS14700	NZ_CP051858.1	2854688	2855959	+	1272	16	3	11	5	15	13	15	12	19	3	4	6
HIS92_RS14705	NZ_CP051858.1	2856203	2857288	+	1086	2293	1925	3581	2336	2078	3044	1379	1666	2392	1103	1219	878
HIS92_RS14710	NZ_CP051858.1	2857352	2858728	+	1377	1267	990	1492	1322	1228	1502	1084	1154	1247	785	958	750
HIS92_RS14715	NZ_CP051858.1	2859034	2860599	+	1566	18126	15769	32652	19810	16403	22892	8815	13745	19981	11084	12356	10076
HIS92_RS14720	NZ_CP051858.1	2860694	2861656	+	963	14	20	30	17	18	25	32	16	38	19	10	16
HIS92_RS14725	NZ_CP051858.1	2861649	2862221	-	573	0	0	0	0	0	0	2	0	0	0	2	0
HIS92_RS14730	NZ_CP051858.1	2862315	2862674	+	360	42	25	51	35	36	50	45	35	39	33	21	22
HIS92_RS14735	NZ_CP051858.1	2862831	2863781	+	951	136	80	123	97	91	149	187	115	113	68	88	55
HIS92_RS14740	NZ_CP051858.1	2863899	2865068	+	1170	62	37	59	54	36	76	110	61	67	39	43	40
HIS92_RS14745	NZ_CP051858.1	2865377	2865664	+	288	3828	3568	5376	4485	4415	5379	2498	4601	4608	4657	3961	3161
HIS92_RS14750	NZ_CP051858.1	2865669	2866019	+	351	3918	3597	5886	4519	4248	5504	3917	3937	4521	4555	3768	3152
HIS92_RS14755	NZ_CP051858.1	2866087	2868255	+	2169	951	807	1065	925	857	1296	1464	1135	1222	925	907	712
HIS92_RS14760	NZ_CP051858.1	2868313	2868429	-	117	0	0	0	1	0	1	0	0	1	0	0	1
HIS92_RS14765	NZ_CP051858.1	2868625	2869083	+	459	27	33	42	31	23	42	17	33	44	22	25	23
HIS92_RS14770	NZ_CP051858.1	2869197	2869271	+	75	19	9	20	11	6	13	5	9	11	7	10	13
HIS92_RS14775	NZ_CP051858.1	2869275	2869365	+	91	49	32	102	48	32	40	6	15	48	12	11	27
HIS92_RS14780	NZ_CP051858.1	2869374	2869448	+	75	4	13	21	13	7	13	5	1	6	1	7	13
HIS92_RS14785	NZ_CP051858.1	2869453	2869528	+	76	33	23	72	51	34	35	5	10	23	19	30	24
HIS92_RS14790	NZ_CP051858.1	2869555	2869631	+	77	25	41	66	44	48	61	10	21	32	31	27	24
HIS92_RS14795	NZ_CP051858.1	2869635	2869710	+	76	84	78	220	118	86	133	32	41	45	37	32	28
HIS92_RS14800	NZ_CP051858.1	2869797	2869871	+	75	82	67	162	96	76	87	27	21	46	28	40	37
HIS92_RS14805	NZ_CP051858.1	2869877	2869949	+	73	16	12	5	18	11	11	6	3	2	7	6	15
HIS92_RS14810	NZ_CP051858.1	2869968	2870050	+	83	322	266	783	391	326	363	220	154	162	178	135	139
HIS92_RS14815	NZ_CP051858.1	2870147	2870223	+	77	37	44	98	51	41	50	12	17	35	15	17	17
HIS92_RS14820	NZ_CP051858.1	2870228	2870304	+	77	4	12	16	6	11	10	3	0	3	0	2	2
HIS92_RS14825	NZ_CP051858.1	2870306	2870376	+	71	1	2	7	2	5	6	2	0	1	0	1	0
HIS92_RS14830	NZ_CP051858.1	2870454	2872005	+	1552	119	7815	4731	1305	118	144	1219	122	158	178	81	71
HIS92_RS14835	NZ_CP051858.1	2872152	2875073	+	2922	391	26828	14944	4556	740	1985	6618	858	2467	1874	425	573
HIS92_RS14840	NZ_CP051858.1	2875122	2875237	+	116	0	3	0	4	0	0	5	0	0	0	0	0
HIS92_RS14845	NZ_CP051858.1	2875250	2875326	+	77	1	1	0	0	0	1	0	1	0	0	1	0
HIS92_RS14850	NZ_CP051858.1	2875330	2875405	+	76	94	66	170	100	111	179	79	139	142	164	118	59
HIS92_RS14855	NZ_CP051858.1	2875580	2876053	+	474	147	126	282	209	191	290	155	172	228	117	158	131
HIS92_RS14860	NZ_CP051858.1	2876034	2876726	+	693	333	211	575	387	346	484	302	289	492	240	339	247
HIS92_RS14865	NZ_CP051858.1	2876741	2877184	+	444	240	208	385	290	245	398	193	259	327	211	252	186
HIS92_RS14870	NZ_CP051858.1	2877184	2878200	+	1017	895	806	1567	1022	865	1509	675	817	1148	675	849	720
HIS92_RS14875	NZ_CP051858.1	2878685	2880673	-	1989	995	778	941	890	928	982	896	956	963	815	927	629
HIS92_RS14880	NZ_CP051858.1	2880807	2881436	+	630	2589	1833	2198	2416	2822	2280	3226	3429	2765	2781	2811	1637
HIS92_RS14885	NZ_CP051858.1	2881466	2881657	-	192	176	124	204	175	147	195	122	162	155	126	117	106
HIS92_RS14890	NZ_CP051858.1	2881654	2882403	-	750	691	483	820	682	630	699	553	674	667	542	600	517
HIS92_RS14895	NZ_CP051858.1	2882795	2883079	+	285	6183	3238	4217	2838	2750	3104	4126	3967	3697	1822	2374	1526
HIS92_RS14900	NZ_CP051858.1	2883119	2884753	+	1635	39543	19604	31135	22519	21789	25975	29552	25933	25329	14014	18677	13623
HIS92_RS14905	NZ_CP051858.1	2884832	2886010	-	1179	229	192	241	279	259	283	129	173	194	174	233	149
HIS92_RS14910	NZ_CP051858.1	2886059	2886643	-	585	275	224	320	258	307	378	105	147	161	228	213	141
HIS92_RS14915	NZ_CP051858.1	2886865	2887152	+	288	1	3	1	0	0	0	9	1	5	1	7	6
HIS92_RS14920	NZ_CP051858.1	2887271	2887417	+	147	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS14925	NZ_CP051858.1	2887432	2887758	+	327	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS14930	NZ_CP051858.1	2887862	2890414	+	2553	40	29	41	16	27	35	61	57	71	29	39	34
HIS92_RS14935	NZ_CP051858.1	2890728	2890946	+	219	2	0	2	2	0	1	2	5	5	2	2	2
HIS92_RS14940	NZ_CP051858.1	2890968	2891348	+	381	0	2	3	0	2	1	2	1	3	0	0	2
HIS92_RS14945	NZ_CP051858.1	2891369	2891653	+	285	0	1	0	2	0	0	7	0	0	0	0	0
HIS92_RS14950	NZ_CP051858.1	2892009	2892146	+	138	3	1	6	0	0	2	1	4	1	0	0	2
HIS92_RS14955	NZ_CP051858.1	2892178	2892804	+	627	14	8	23	2	10	12	16	3	15	9	4	1
HIS92_RS14960	NZ_CP051858.1	2892834	2893436	+	603	24	24	30	24	18	13	37	22	39	14	8	10
HIS92_RS14965	NZ_CP051858.1	2893664	2894371	+	708	536	416	681	662	553	690	435	541	671	543	565	381
HIS92_RS14970	NZ_CP051858.1	2894407	2895591	+	1185	1279	1000	1418	1410	1207	1435	1124	1085	1281	1048	945	711
HIS92_RS14975	NZ_CP051858.1	2895764	2896294	-	531	376	259	365	395	418	476	246	333	403	337	407	303
HIS92_RS14980	NZ_CP051858.1	2896309	2897916	-	1608	852	541	787	995	992	1227	877	873	939	750	931	722
HIS92_RS14985	NZ_CP051858.1	2898116	2898502	+	387	12	12	22	9	13	11	7	10	10	8	11	4
HIS92_RS14990	NZ_CP051858.1	2899319	2900860	+	1542	14847	4996	8009	4378	4004	6716	8245	5104	6453	1934	2697	2472
HIS92_RS14995	NZ_CP051858.1	2901165	2901680	+	516	327	333	393	588	468	503	185	228	287	297	361	299
HIS92_RS15000	NZ_CP051858.1	2901677	2902393	+	717	675	646	754	893	959	1031	340	410	520	598	738	520
HIS92_RS15005	NZ_CP051858.1	2902396	2903415	+	1020	768	758	833	1304	977	1136	380	483	682	747	980	815
HIS92_RS15010	NZ_CP051858.1	2903771	2904145	+	375	202	115	279	224	189	253	134	161	228	231	153	138
HIS92_RS15015	NZ_CP051858.1	2904364	2904507	+	144	15	11	14	17	12	20	4	10	10	17	13	4
HIS92_RS15020	NZ_CP051858.1	2904534	2904806	+	273	21	21	35	28	17	31	3	16	11	11	15	11
HIS92_RS15025	NZ_CP051858.1	2905075	2906481	+	1407	44	33	71	43	56	76	49	55	55	43	36	33
HIS92_RS15030	NZ_CP051858.1	2906775	2907278	+	504	14	14	15	18	23	18	15	22	19	25	14	9
HIS92_RS15035	NZ_CP051858.1	2907259	2908287	+	1029	3	9	21	14	9	18	12	17	16	10	11	5
HIS92_RS15040	NZ_CP051858.1	2908308	2908514	+	207	3	0	3	0	3	1	1	3	3	4	3	1
HIS92_RS15045	NZ_CP051858.1	2908511	2909764	+	1254	19	12	21	18	16	21	21	17	16	16	18	12
HIS92_RS15050	NZ_CP051858.1	2909765	2910571	+	807	16	8	14	13	24	13	21	16	19	9	11	3
HIS92_RS15055	NZ_CP051858.1	2910558	2910950	+	393	10	9	17	10	12	14	8	16	17	8	4	6
HIS92_RS15060	NZ_CP051858.1	2911440	2912765	+	1326	209	90	90	77	80	93	220	83	124	82	88	65
HIS92_RS15065	NZ_CP051858.1	2913059	2913760	+	702	2	1	5	3	3	2	8	0	5	0	2	4
HIS92_RS15070	NZ_CP051858.1	2913744	2915249	+	1506	19	25	32	22	35	34	44	29	33	22	24	17
HIS92_RS15075	NZ_CP051858.1	2915544	2917095	+	1552	145	7875	4770	1270	133	164	1194	114	131	173	79	70
HIS92_RS15080	NZ_CP051858.1	2917242	2920163	+	2922	339	26534	15066	4640	689	2042	6712	814	2454	1942	404	509
HIS92_RS15085	NZ_CP051858.1	2920213	2920328	+	116	0	2	0	0	0	0	1	1	0	1	0	0
HIS92_RS15090	NZ_CP051858.1	2920561	2921520	+	960	153	136	308	161	182	286	55	73	129	66	86	58
HIS92_RS15095	NZ_CP051858.1	2921721	2922452	+	732	481	233	609	300	319	384	503	498	554	269	404	350
HIS92_RS15100	NZ_CP051858.1	2922802	2924353	+	1552	137	7933	4711	1232	105	122	1201	121	124	171	83	69
HIS92_RS15105	NZ_CP051858.1	2924500	2927421	+	2922	382	26535	15078	4524	667	2000	6587	785	2480	1867	408	467
HIS92_RS15110	NZ_CP051858.1	2927470	2927585	+	116	0	3	0	1	0	0	1	0	0	0	0	0
HIS92_RS15115	NZ_CP051858.1	2927661	2928119	-	459	45	16	35	27	28	25	29	41	36	28	33	23
HIS92_RS15120	NZ_CP051858.1	2928476	2929273	-	798	43	26	63	54	41	36	65	66	58	42	54	46
HIS92_RS15125	NZ_CP051858.1	2929291	2930028	-	738	29	29	29	23	19	18	30	23	22	9	26	24
HIS92_RS15130	NZ_CP051858.1	2930021	2930950	-	930	50	25	44	35	25	39	45	42	41	43	38	49
HIS92_RS15135	NZ_CP051858.1	2931019	2932032	-	1014	37	19	23	21	26	42	22	18	21	15	22	15
HIS92_RS15140	NZ_CP051858.1	2932022	2932735	-	714	16	11	25	9	17	20	3	6	20	10	14	5
HIS92_RS15145	NZ_CP051858.1	2933215	2934766	+	1552	160	7827	4734	1222	109	147	1093	124	149	204	79	73
HIS92_RS15150	NZ_CP051858.1	2934913	2937834	+	2922	391	26718	15164	4645	696	1963	6657	877	2459	1997	400	517
HIS92_RS15155	NZ_CP051858.1	2937883	2937998	+	116	0	1	0	0	0	1	3	0	0	0	0	0
HIS92_RS15160	NZ_CP051858.1	2938211	2939131	+	921	26	27	53	36	40	54	51	44	36	53	34	29
HIS92_RS15165	NZ_CP051858.1	2939218	2940009	-	792	0	0	0	1	0	0	0	0	0	0	2	0
HIS92_RS15170	NZ_CP051858.1	2940325	2941876	+	1552	164	9107	5413	1480	134	168	1406	138	160	242	109	73
HIS92_RS15175	NZ_CP051858.1	2942023	2944944	+	2922	386	26571	14954	4564	686	1996	6669	862	2438	1882	432	487
HIS92_RS15180	NZ_CP051858.1	2944994	2945109	+	116	0	2	2	1	0	1	2	0	0	0	0	0
HIS92_RS15185	NZ_CP051858.1	2945849	2946334	+	486	95	47	95	89	100	86	51	70	140	78	85	79
HIS92_RS15190	NZ_CP051858.1	2946331	2947482	+	1152	298	178	296	227	237	269	293	246	320	199	286	205
HIS92_RS15195	NZ_CP051858.1	2947479	2948786	+	1308	2100	1539	2126	1815	1777	2069	1803	1795	1917	1572	1773	1352
HIS92_RS15200	NZ_CP051858.1	2948875	2949594	+	720	55	22	16	19	24	19	65	24	45	34	25	21
HIS92_RS15205	NZ_CP051858.1	2949587	2949841	+	255	10	6	7	4	11	8	25	12	15	3	8	8
HIS92_RS15210	NZ_CP051858.1	2949838	2950521	+	684	31	7	9	17	12	19	68	22	29	19	19	13
HIS92_RS15215	NZ_CP051858.1	2950505	2952724	+	2220	73	20	15	28	27	23	151	56	57	48	25	39
HIS92_RS15220	NZ_CP051858.1	2952709	2954124	+	1416	52	23	15	19	20	25	139	25	34	21	15	18
HIS92_RS15225	NZ_CP051858.1	2954230	2955270	+	1041	21	2	1	5	2	6	83	22	11	11	6	9
HIS92_RS15230	NZ_CP051858.1	2955267	2955854	+	588	6	4	3	3	2	2	11	8	4	5	3	1
HIS92_RS15235	NZ_CP051858.1	2955879	2957414	+	1536	148	92	136	160	102	148	168	143	139	86	162	85
HIS92_RS15240	NZ_CP051858.1	2957951	2959222	+	1272	286	212	271	269	255	270	441	319	323	193	272	188
HIS92_RS15245	NZ_CP051858.1	2959259	2959423	-	165	185	171	181	163	196	182	140	215	175	172	121	90
